Algorithm,Split,Accuracy,Precision,Recall,F1-score,
AdaBoost,60:40:00,0.97639248,0.977760758,0.97639248,0.976708118,
AdaBoost,70:30:00,0.973637109,0.974825774,0.973637109,0.973949055,
AdaBoost,80:20:00,0.975731365,0.977186401,0.975731365,0.976067777,
CatBoost,60:40:00,0.999034538,0.99903492,0.999034538,0.999033931,
CatBoost,70:30:00,0.99899486,0.998995225,0.99899486,0.998994213,
CatBoost,80:20:00,0.998889065,0.998889057,0.998889065,0.998888451,
Decision Tree,60:40:00,0.998975024,0.998974766,0.998975024,0.998974737,
Decision Tree,70:30:00,0.999215285,0.999215132,0.999215285,0.999215123,
Decision Tree,80:20:00,0.999113897,0.999113963,0.999113897,0.999113928,
Gradient Boost,60:40:00,0.996151379,0.99616072,0.996151379,0.996140677,
Gradient Boost,70:30:00,0.995979439,0.995987616,0.995979439,0.995968254,
Gradient Boost,80:20:00,0.99633656,0.996344665,0.99633656,0.996326902,
KNN,60:40:00,0.983726021,0.983671703,0.983726021,0.983640039,
KNN,70:30:00,0.984226351,0.984175544,0.984226351,0.984143319,
KNN,80:20:00,0.984539491,0.984499044,0.984539491,0.984449822,
LGBM,60:40:00,0.999001475,0.999001637,0.999001475,0.999000909,
LGBM,70:30:00,0.847227488,0.981208315,0.847227488,0.903295222,
LGBM,80:20:00,0.998968418,0.998968485,0.998968418,0.998967893,
MLP Classifier,60:40:00,0.982760559,0.983031267,0.982760559,0.982517191,
MLP Classifier,70:30:00,0.983009602,0.983143159,0.983009602,0.982806545,
MLP Classifier,80:20:00,0.98289954,0.983147923,0.98289954,0.982662747,
Naive Bayes,60:40:00,0.507733612,0.843956671,0.507733612,0.526934417,
Naive Bayes,70:30:00,0.501573838,0.846628091,0.501573838,0.519559116,
Naive Bayes,80:20:00,0.501878009,0.846676675,0.501878009,0.520138537,
QDA,60:40:00,0.518995126,0.806896472,0.518995126,0.537331179,
QDA,70:30:00,0.507816289,0.806774295,0.507816289,0.52480139,
QDA,80:20:00,0.507591388,0.807113591,0.507591388,0.524709094,
Random Forest,60:40:00,0.99829391,0.99829515,0.99829391,0.998291994,
Random Forest,70:30:00,0.998465838,0.998467239,0.998465838,0.998464166,
Random Forest,80:20:00,0.998637782,0.998638825,0.998637782,0.998636478,
XGBoost,60:40:00,0.999034538,0.999034412,0.999034538,0.999034152,
XGBoost,70:30:00,0.998968409,0.998968231,0.998968409,0.99896799,
XGBoost,80:20:00,0.99919325,0.999193486,0.99919325,0.999192832,
LGBM,60:40:00,0.998583198,0.998583666,0.998583198,0.998556515,
LGBM,70:30:00,0.934933184,0.924699845,0.934933184,0.929787217,
LGBM,80:20:00,0.920033582,0.927911362,0.920033582,0.923192112,
Linear SVM,60:40:00,0.957810778,0.958459973,0.957810778,0.957240114,
Linear SVM,70:30:00,0.959070874,0.959632252,0.959070874,0.95854459,
Linear SVM,80:20:00,0.959282191,0.959865425,0.959282191,0.958756183,
Logistic Regression,60:40:00,0.958702839,0.958788558,0.958702839,0.958349337,
Logistic Regression,70:30:00,0.95949066,0.959518186,0.95949066,0.959179151,
Logistic Regression,80:20:00,0.958757477,0.958746682,0.958757477,0.958476386,
Kernel SVM,60:40:00,0.974870808,0.97533976,0.974870808,0.974242277,
Kernel SVM,70:30:00,0.974871656,0.975297554,0.974871656,0.974263763,
Kernel SVM,80:20:00,0.973454914,0.973906605,0.973454914,0.972725918,
LDA,60:40:00,0.87891377,0.878904714,0.87891377,0.868301864,
LDA,70:30:00,0.876249662,0.876359432,0.876249662,0.865934279,
LDA,80:20:00,0.875582573,0.875479799,0.875582573,0.865010061,
